SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	December 21, 2015	December 18, 2015	December 17, 2015	December 16, 2015	December 15, 2015
Euro	0.7850350000	0.7831730000	0.7839030000	0.7875850000	0.7884740000
Japanese Yen	0.0059563100	0.0059000100	0.0059027800	0.0059105200	0.0059234400
U.K. Pound Sterling	1.0759400000	1.0782000000	1.0785600000	1.0823600000	1.0873600000
U.S. Dollar	0.7222030000	0.7227510000	0.7230910000	0.7203740000	0.7174470000
Algerian Dinar		0.0067235700	0.0067314600	0.0067247800	0.0067063200
Australian Dollar		0.5156110000	0.5193240000	0.5189570000	0.5201490000
Bahrain Dinar		1.9222100000		1.9158900000	1.9081000000
Botswana Pula		0.0653367000	0.0654397000	0.0651218000	0.0652159000
Brazilian Real		0.1856590000	0.1837260000	0.1861290000	0.1838520000
Brunei Dollar		0.5094820000	0.5104770000	0.5122110000	0.5087920000
Canadian Dollar		0.5206390000	0.5176030000	0.5218210000	0.5226160000
Chilean Peso		0.0010201100	0.0010195400	0.0010148700	0.0010083300
Chinese Yuan		0.1115130000	0.1115540000	0.1113300000	0.1110410000
Colombian Peso		0.0002168230	0.0002179480	0.0002164530	0.0002137800
Czech Koruna		0.0289715000	0.0289990000	0.0291343000	0.0292001000
Danish Krone		0.1049640000	0.1050640000	0.1055510000	0.1056730000
Hungarian Forint		0.0024795900	0.0024871600	0.0024934200	0.0024946900
Icelandic Krona		0.0055260400	0.0055392300	0.0055644500	0.0055867200
Indian Rupee		0.0108810000	0.0108493000	0.0107765000	0.0107012000
Indonesian Rupiah		0.0000515073	0.0000515463	0.0000512722	0.0000510094
Iranian Rial			0.0000240070	0.0000239232	0.0000238299
Israeli New Sheqel		0.1855110000	0.1856460000	0.1857590000	0.1859150000
Kazakhstani Tenge		0.0021136800			0.0021238800
Korean Won		0.0006130720	0.0006137250	0.0006089900	0.0006048790
Kuwaiti Dinar		2.3794300000	2.3805500000	2.3739500000	2.3674200000
Libyan Dinar		0.5174910000	0.5174910000	0.5174910000	0.5174910000
Malaysian Ringgit		0.1673620000	0.1668990000	0.1671790000	0.1657690000
Mauritian Rupee		0.0200343000	0.0200358000	0.0199621000	0.0198984000
Mexican Peso		0.0424800000	0.0422860000	0.0420386000	0.0418266000
Nepalese Rupee		0.0067883100	0.0067597600	0.0067192800	0.0066863700
New Zealand Dollar		0.4834480000	0.4889540000	0.4866850000	0.4864290000
Norwegian Krone		0.0824390000	0.0824204000	0.0824217000	0.0830455000
Rial Omani		1.8797200000	1.8806000000	1.8735300000	1.8659200000
Pakistani Rupee		0.0068980500	0.0068961800	0.0068724900	0.0068442300
Nuevo Sol			0.2145670000	0.2140150000	0.2130190000
Philippine Peso		0.0152785000	0.0152796000	0.0152042000	0.0151555000
Polish Zloty		0.1827070000	0.1823870000	0.1817110000	0.1815260000
Qatar Riyal		0.1985580000	0.1986510000	0.1979050000	0.1971010000
Russian Ruble		0.0101337000	0.0102449000	0.0102324000	0.0101292000
Saudi Arabian Riyal		0.1927340000	0.1928240000	0.1921000000	0.1913190000
Singapore Dollar	0.5116200000	0.5094820000	0.5104770000	0.5122110000	0.5087920000
South African Rand	0.0478991000	0.0479343000	0.0482880000		0.0478812000
Sri Lanka Rupee		0.0050344700	0.0050366900	0.0050214900	0.0049998500
Swedish Krona		0.0845333000	0.0847108000	0.0848287000	0.0849854000
Swiss Franc		0.7267480000	0.7249760000	0.7277980000	0.7286680000
Thai Baht		0.0199876000	0.0200480000	0.0200176000	0.0198904000
Trinidad And Tobago Dollar		0.1128730000	0.1131370000	0.1128410000	0.1120260000
Tunisian Dinar		0.3557460000	0.3572200000	0.3575680000	0.3558430000
U.A.E. Dirham		0.1968010000	0.1968930000	0.1961540000	0.1953570000
Peso Uruguayo			0.0242754000	0.0241777000	0.0240859000
Bolivar Fuerte		0.1150110000	0.1150650000	0.1146330000	0.1141670000

Currency units per SDR(3)

Currency	December 21, 2015	December 18, 2015	December 17, 2015	December 16, 2015	December 15, 2015
Euro	1.273830	1.276860	1.275670	1.269700	1.268270
Japanese Yen	167.889000	169.491000	169.412000	169.190000	168.821000
U.K. Pound Sterling	0.929420	0.927472	0.927162	0.923907	0.919659
U.S. Dollar	1.384650	1.383600	1.382950	1.388170	1.393830
Algerian Dinar		148.731000	148.556000	148.704000	149.113000
Australian Dollar		1.939450	1.925580	1.926940	1.922530
Bahrain Dinar		0.520235		0.521951	0.524082
Botswana Pula		15.305300	15.281200	15.355800	15.333700
Brazilian Real		5.386220	5.442890	5.372620	5.439160
Brunei Dollar		1.962780	1.958950	1.952320	1.965440
Canadian Dollar		1.920720	1.931980	1.916370	1.913450
Chilean Peso		980.286000	980.834000	985.348000	991.739000
Chinese Yuan		8.967560	8.964270	8.982300	9.005680
Colombian Peso		4,612.060000	4,588.250000	4,619.940000	4,677.710000
Czech Koruna		34.516700	34.483900	34.323800	34.246500
Danish Krone		9.527080	9.518010	9.474090	9.463160
Hungarian Forint		403.292000	402.065000	401.056000	400.851000
Icelandic Krona		180.961000	180.531000	179.712000	178.996000
Indian Rupee		91.903300	92.171800	92.794500	93.447500
Indonesian Rupiah		19,414.700000	19,400.000000	19,503.700000	19,604.200000
Iranian Rial			41,654.500000	41,800.400000	41,964.100000
Israeli New Sheqel		5.390520	5.386600	5.383320	5.378800
Kazakhstani Tenge		473.109000			470.836000
Korean Won		1,631.130000	1,629.390000	1,642.060000	1,653.220000
Kuwaiti Dinar		0.420269	0.420071	0.421239	0.422401
Libyan Dinar		1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit		5.975070	5.991650	5.981610	6.032490
Mauritian Rupee		49.914400	49.910700	50.094900	50.255300
Mexican Peso		23.540500	23.648500	23.787700	23.908200
Nepalese Rupee		147.312000	147.934000	148.825000	149.558000
New Zealand Dollar		2.068470	2.045180	2.054720	2.055800
Norwegian Krone		12.130200	12.132900	12.132700	12.041600
Rial Omani		0.531994	0.531745	0.533752	0.535929
Pakistani Rupee		144.969000	145.008000	145.508000	146.108000
Nuevo Sol			4.660550	4.672570	4.694420
Philippine Peso		65.451500	65.446700	65.771300	65.982600
Polish Zloty		5.473240	5.482850	5.503240	5.508850
Qatar Riyal		5.036310	5.033950	5.052930	5.073540
Russian Ruble		98.680600	97.609500	97.728800	98.724500
Saudi Arabian Riyal		5.188500	5.186080	5.205620	5.226870
Singapore Dollar	1.954580	1.962780	1.958950	1.952320	1.965440
South African Rand	20.877200	20.861900	20.709100		20.885000
Sri Lanka Rupee		198.631000	198.543000	199.144000	200.006000
Swedish Krona		11.829700	11.804900	11.788500	11.766700
Swiss Franc		1.375990	1.379360	1.374010	1.372370
Thai Baht		50.031000	49.880300	49.956000	50.275500
Trinidad And Tobago Dollar		8.859510	8.838840	8.862030	8.926500
Tunisian Dinar		2.810990	2.799400	2.796670	2.810230
U.A.E. Dirham		5.081270	5.078900	5.098040	5.118830
Peso Uruguayo			41.194000	41.360400	41.518100
Bolivar Fuerte		8.694820	8.690740	8.723490	8.759100


(1) Exchange rates are published daily except on IMF holidays or
whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of
the dollar values, based on market exchange rates, of specified quantities of the
first four currencies shown. See SDR Valuation.The value in terms of the SDR of each of the other
currencies shown above is derived from that currency's representative exchange rate against the U.S.
dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the
Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of
domestic currency units per SDR. All figures are rounded to six significant digits. See Representative
Exchange Rates for Selected Currencies

(3) The value in terms of each national currency of the SDR is the reciprocal of the
value in terms of the SDR of each national currency, rounded to six significant digits.
